Id,SalePrice
1461,115559.75
1462,146141.69
1463,179637.78
1464,185356.06
1465,181062.08
1466,172016.36
1467,155553.3
1468,163484.78
1469,189195.83
1470,119489.945
1471,192417.89
1472,91111.72
1473,93850.766
1474,155792.77
1475,143966.14
1476,332833.78
1477,237247.61
1478,302033.16
1479,196445.61
1480,480541.4
1481,285215.1
1482,202075.69
1483,171405.34
1484,163034.14
1485,170388.86
1486,186229.14
1487,305311.1
1488,210106.08
1489,190592.83
1490,195738.9
1491,181530.39
1492,94789.48
1493,178782.31
1494,271155.47
1495,288291.47
1496,216925.89
1497,170635.66
1498,156841.58
1499,153983.38
1500,151255.98
1501,175654.6
1502,163442.14
1503,262899.7
1504,210307.23
1505,219199.66
1506,195096.73
1507,245168.81
1508,200221.81
1509,162860.69
1510,145147.42
1511,145147.42
1512,161776.67
1513,160835.4
1514,179685.83
1515,176422.64
1516,162613.67
1517,140066.12
1518,127692.695
1519,210319.89
1520,134904.67
1521,140601.28
1522,156146.4
1523,108769.24
1524,117465.45
1525,119252.56
1526,129361.82
1527,91235.39
1528,132710.34
1529,144573.34
1530,194035.58
1531,109278.98
1532,98916.37
1533,149773.11
1534,114911.62
1535,164769.23
1536,112065.51
1537,73991.336
1538,163895.08
1539,208020.66
1540,97442.53
1541,153136.88
1542,143319.97
1543,166801.12
1544,83801.44
1545,102933.67
1546,120226.73
1547,130433.24
1548,127012.62
1549,105145.66
1550,141020.3
1551,115276.99
1552,136191.69
1553,145137.19
1554,112226.86
1555,167021.84
1556,94613.586
1557,107818.18
1558,99802.164
1559,96774.82
1560,134376.53
1561,132705.78
1562,125390.91
1563,120640.516
1564,157486.06
1565,139912.16
1566,223255.2
1567,62679.84
1568,236141.89
1569,159112.5
1570,122927.805
1571,136105.64
1572,141482.52
1573,236992.28
1574,92170.54
1575,223127.2
1576,199743.22
1577,192104.53
1578,150496.12
1579,134954.73
1580,177070.39
1581,138928.97
1582,123665.484
1583,331538.53
1584,234945.6
1585,141861.3
1586,68023.555
1587,102068.336
1588,145364.97
1589,102497.875
1590,135976.34
1591,102555.11
1592,124078.04
1593,120603.93
1594,101641.75
1595,102927.93
1596,238719.95
1597,149042.02
1598,193543.23
1599,159860.2
1600,156502.48
1601,79102.77
1602,123076.586
1603,98375.875
1604,260396.78
1605,223186.75
1606,155373.78
1607,141803.36
1608,203506.53
1609,182532.92
1610,151841.36
1611,141446.6
1612,153628.4
1613,160023.8
1614,109176.71
1615,86942.72
1616,81578.21
1617,85368.89
1618,125046.81
1619,128446.44
1620,130698.375
1621,133948.72
1622,132156.14
1623,295813.0
1624,221051.33
1625,131799.98
1626,161743.55
1627,186945.62
1628,284163.66
1629,169218.73
1630,398455.94
1631,219653.44
1632,242487.11
1633,173469.7
1634,176440.23
1635,174765.27
1636,152552.17
1637,159966.33
1638,200197.2
1639,173261.11
1640,257222.36
1641,181761.22
1642,234378.03
1643,205839.27
1644,216869.2
1645,191976.77
1646,142585.0
1647,160449.02
1648,137397.1
1649,131464.72
1650,119548.67
1651,123171.14
1652,97024.516
1653,89910.19
1654,158218.14
1655,157088.2
1656,158200.55
1657,159483.81
